date,hospitalCases
13/04/2020,18621
12/04/2020,18974
11/04/2020,18604
10/04/2020,18669
09/04/2020,18423
08/04/2020,18152
07/04/2020,17814
06/04/2020,17154
05/04/2020,16657
04/04/2020,15469
03/04/2020,13635
02/04/2020,12135
01/04/2020,12059
31/03/2020,11154
30/03/2020,9852
29/03/2020,8424
28/03/2020,7269
27/03/2020,6462
26/03/2020,5226
25/03/2020,4402
24/03/2020,3598
23/03/2020,3183
22/03/2020,2670
21/03/2020,2152
20/03/2020,1580
